headline,label
associated british foods profit hit by strong sterling tough sugar business,negative
ab inbev to sell peroni and grolsch,positive
ceos of bpm ubi meet italy econ minister as m&a talk heats up,positive
teva: fda approves generic version of astrazeneca heartburn drug,positive
companiescentrica shares drop 7 amid capital raise,negative
news feedftse 100 movers: standard chartered lifted while astrazeneca sinks,positive
struggling morrisons pays out â£3m to sacked boss dalton philips â€ with more to,negative
glencore sells agri unit stake for $2 5 billion to canadian pension fund,positive
former schroders trader sentenced to 2 years in prison,negative
royal dutch shell posts rise in earnings despite lower oil prices,positive
tesco made a bit of a crucial error in this promotion for ramadan,negative
meggitt agrees to buy us aerospace component firm for $340 million,positive
bhp residents brace as cyclone stan nears australian coast,negative
fda approves shire s vyvanse for binge eating disorder,positive
market report: eight day rally ends for ftse 100 and standard chartered,positive
aviva weighs cash handout after beating profit forecast,positive
prudential knocked after investors withdraw â£3 9bn from m&g,negative
glencore slashes 2015 capex budget as annual profits slip 2,negative
standard life stands tall amid pension reform,positive
sotheby s chairman takes his final sale,negative
the uk government s call to sell shares in royal bank of scotland group plc,negative
smith & nephew recalls hip replacement components,negative
diageo receives reports from united spirits on financial irregularities involving,negative
cftc fines barclays $560000 for inaccurate swaps position reports,negative
tesco share price closes higher as two more directors leave grocer,positive
friday papers: sir philip green sells bhs for â£1,positive
wolseley profit up 18 warns on revenue growth,positive
astrazeneca wins us approval for longer use of blood thinner,positive
anheuser busch inbev increases offer for rival sabmiller,positive
uk s morrisons in talks to sell convenience stores source,negative
greene king s third quarter sales boosted by festive season,positive
kingfisher set to open another 200 screwfix stores,positive
bhp billiton share price: brazil to sue samarco for â£3 5bn,negative
whitbread boss andy harrison defends sales fall as just a blip,negative
prudential capital ratio beats forecasts confirms uk head,positive
credit checker experian reports fall in full year profit,negative
britain s ftse steadies below record high bhp gains,positive
passengers rise at easyjet and aer lingus,positive
barclays poaches new chief operating officer paul compton from jp morgan chase,positive
bhp billiton drags ftse lower after slashing dividend,negative
tesco says recovery on track asks investors to be patient,positive
national grid profit up 15 ; gas sale on track,positive
falling oil prices hurt hunting weir group,negative
standard life shuts â£2 9bn property fund after investors rush to withdraw money post brexit,negative
european stocks hover near 3 week low dialog and bhp slump,negative
companiesrbs pulls a surprise: a 27 jump in profits,positive
